timestamp_iso,mode,front_distance_cm,left_distance_cm,right_distance_cm,executed_motion,executed_speed,next_motion,next_speed,notes,stuck_triggered,queue_len
2025-12-03T16:25:27,REMOTE,81.98,16.04,61.87,forward,0.70,idle,0.00,remote_forward,0,0
2025-12-03T16:25:28,REMOTE,43.05,30.10,56.72,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:25:29,REMOTE,62.22,40.60,43.39,left,0.45,idle,0.00,remote_left,0,1
2025-12-03T16:25:29,REMOTE,44.46,59.34,36.44,left,0.45,idle,0.00,remote_left,0,1
2025-12-03T16:25:30,REMOTE,30.83,67.66,31.17,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:25:30,REMOTE,39.14,61.48,34.99,backward,0.60,idle,0.00,remote_backward,0,0
