timestamp_iso,mode,front_distance_cm,left_distance_cm,right_distance_cm,executed_motion,executed_speed,next_motion,next_speed,notes,stuck_triggered,queue_len
2025-12-03T16:24:56,REMOTE,69.47,17.18,51.92,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:24:57,REMOTE,44.46,30.18,56.42,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:24:57,REMOTE,62.25,40.05,28.04,left,0.45,idle,0.00,remote_left,0,1
2025-12-03T16:24:58,REMOTE,43.65,59.98,37.43,left,0.45,idle,0.00,remote_left,0,1
2025-12-03T16:24:59,REMOTE,30.58,66.58,30.96,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:24:59,REMOTE,39.06,65.08,36.02,backward,0.60,idle,0.00,remote_backward,0,0
